Fahrgast_ID,Spawnzeit,Einsteigzeit,Austeigezeit,Wartezeit,Startetage,Zieletage,Nimmt_Treppenhaus
132,1283.848842607183,1292.102457259833,1332.102457259833,8.253614652649958,0,6,False
130,1267.102457259833,1292.102457259833,1352.102457259833,25.0,0,9,False
136,1321.5364954465838,1342.6765701296508,1357.6765701296508,21.14007468306704,0,2,False
138,1335.7074945253135,1342.6765701296508,1357.6765701296508,6.969075604337377,0,2,False
135,1319.3658796523061,1319.3658796523061,1364.3658796523061,0.0,0,8,False
137,1331.1375227747178,1342.6765701296508,1392.6765701296508,11.539047354933018,0,8,False
139,1337.4149163919537,1342.6765701296508,1402.6765701296508,5.261653737697088,0,9,False
141,1360.2115031475805,1402.102457259833,1417.102457259833,41.89095411225253,0,2,False
140,1356.4957470581535,1402.102457259833,1427.102457259833,45.60671020167956,0,3,False
143,1365.6710781971117,1402.102457259833,1427.102457259833,36.43137906272136,0,3,False
142,1362.800738947836,1402.102457259833,1447.102457259833,39.30171831199709,0,6,False
145,1410.4287560970251,1415.4287560970251,1465.4287560970251,5.0,0,9,False
144,1380.3981591090346,1402.102457259833,1467.102457259833,21.704298150798422,0,9,False
147,1453.6502837003263,1462.6922171152144,1477.6922171152144,9.041933414888035,0,2,False
146,1427.6922171152144,1462.6922171152144,1517.6922171152144,35.0,0,9,False
149,1476.868148769429,1517.092584633832,1532.092584633832,40.224435864403176,0,2,False
155,1521.2034352999185,1521.2034352999185,1536.2034352999185,0.0,0,2,False
151,1492.7754565088758,1517.092584633832,1547.092584633832,24.317128124956298,0,4,False
152,1500.0906655079004,1517.092584633832,1547.092584633832,17.001919125931636,0,4,False
148,1472.092584633832,1517.092584633832,1557.092584633832,45.0,0,5,False
150,1481.6208594422376,1517.092584633832,1557.092584633832,35.47172519159449,0,5,False
154,1506.1124492484184,1517.092584633832,1557.092584633832,10.980135385413632,0,5,False
153,1502.3432840397522,1517.092584633832,1582.092584633832,14.749300594079841,0,9,False
156,1549.5856343335874,1559.5856343335874,1589.5856343335874,10.0,0,5,False
157,1563.3035567761528,1594.5856343335874,1604.5856343335874,31.282077557434604,0,1,False
158,1576.8273751371248,1594.5856343335874,1619.5856343335874,17.75825919646263,0,3,False
159,1593.3237181541463,1594.5856343335874,1619.5856343335874,1.2619161794411866,0,3,False
162,1628.8742525203015,1629.9956304837506,1644.9956304837506,1.1213779634490493,0,2,False
163,1641.8344979219635,1646.8344979219635,1666.8344979219635,5.0,0,3,False
166,1672.5251740142419,1672.5251740142419,1682.5251740142419,0.0,0,1,False
160,1609.9956304837506,1629.9956304837506,1684.9956304837506,20.0,0,9,False
161,1624.2546928266108,1629.9956304837506,1684.9956304837506,5.740937657139739,0,9,False
164,1642.8344979219635,1646.8344979219635,1686.8344979219635,4.0,0,6,False
165,1643.8344979219635,1646.8344979219635,1696.8344979219635,3.0,0,7,False
167,1675.1133126781701,1692.5251740142419,1727.5251740142419,17.411861336071752,0,6,False
168,1683.7642437706554,1692.5251740142419,1727.5251740142419,8.760930243586472,0,6,False
171,1729.992141632812,1736.8344979219635,1756.8344979219635,6.842356289151439,0,3,False
172,1730.992141632812,1736.8344979219635,1756.8344979219635,5.842356289151439,0,3,False
169,1698.2656975463422,1736.8344979219635,1766.8344979219635,38.56880037562132,0,4,False
174,1750.2398720006197,1750.2398720006197,1770.2398720006197,0.0,0,3,False
170,1705.380766712211,1736.8344979219635,1781.8344979219635,31.453731209752505,0,6,False
173,1732.2877961068966,1736.8344979219635,1791.8344979219635,4.546701815066854,0,7,False
176,1773.2379672378572,1790.2398720006197,1820.2398720006197,17.00190476276248,0,5,False
175,1766.9165781354986,1790.2398720006197,1835.2398720006197,23.32329386512106,0,7,False
177,1825.7068088242302,1825.7068088242302,1840.7068088242302,0.0,0,2,False
178,1827.4920136677204,1855.7068088242302,1865.7068088242302,28.21479515650981,0,1,False
179,1834.4504580955447,1855.7068088242302,1885.7068088242302,21.256350728685447,0,4,False
182,1855.9424092944544,1860.7068088242302,1885.7068088242302,4.764399529775801,0,4,False
181,1845.695015681771,1855.7068088242302,1895.7068088242302,10.011793142459055,0,5,False
183,1876.779981176678,1886.779981176678,1911.779981176678,10.0,0,4,False
180,1835.4504580955447,1855.7068088242302,1915.7068088242302,20.256350728685447,0,8,False
184,1882.254945792113,1886.779981176678,1926.779981176678,4.525035384564944,0,6,False
188,1918.6409323109622,1928.1964492934574,1938.1964492934574,9.555516982495192,0,1,False
185,1908.1964492934574,1928.1964492934574,1948.1964492934574,20.0,0,2,False
186,1915.1230739142025,1928.1964492934574,1973.1964492934574,13.073375379254912,0,6,False
187,1916.7951130103306,1928.1964492934574,1993.1964492934574,11.401336283126739,0,9,False
191,1961.597748951475,1982.4056930361571,1997.4056930361571,20.80794408468205,0,2,False
190,1960.597748951475,1982.4056930361571,2012.4056930361571,21.80794408468205,0,5,False
189,1952.4056930361571,1982.4056930361571,2017.4056930361571,30.0,0,5,False
192,1962.8280028278223,1982.4056930361571,2022.4056930361571,19.577690208334843,0,6,False
193,1966.727488864595,1982.4056930361571,2032.4056930361571,15.678204171562129,0,7,False
194,1981.8425440708797,1982.4056930361571,2032.4056930361571,0.563148965277378,0,7,False
199,2025.5091017124041,2043.1964492934574,2058.1964492934576,17.687347581053245,0,2,False
195,1998.1480602844963,2043.1964492934574,2078.1964492934576,45.04838900896107,0,5,False
198,2015.0158155831245,2043.1964492934574,2088.1964492934576,28.180633710332813,0,6,False
200,2032.4367304877758,2043.1964492934574,2088.1964492934576,10.759718805681587,0,6,False
196,2003.794794748751,2043.1964492934574,2098.1964492934576,39.40165454470639,0,7,False
201,2043.279548656104,2072.405693036157,2102.405693036157,29.12614438005312,0,5,False
202,2050.0039290709856,2072.405693036157,2112.405693036157,22.40176396517154,0,7,False
197,2004.794794748751,2043.1964492934574,2113.1964492934576,38.40165454470639,0,9,False
203,2064.012202601084,2072.405693036157,2117.405693036157,8.39349043507309,0,7,False
204,2065.718152258203,2072.405693036157,2127.405693036157,6.687540777953927,0,9,False
205,2091.557569840538,,,60.0,0,4,True
206,2094.953279320516,,,60.0,0,7,True
207,2097.056006836149,,,60.0,0,5,True
210,2151.0922112041826,2157.405693036157,2182.405693036157,6.313481831974514,0,4,False
209,2139.4282190206013,2157.405693036157,2192.405693036157,17.9774740155558,0,5,False
211,2167.6341652710116,2172.6341652710116,2207.6341652710116,5.0,0,6,False
214,2192.2284372212416,2196.2284372212416,2216.2284372212416,4.0,0,3,False
208,2123.2475321775864,2157.405693036157,2217.405693036157,34.15816085857068,0,9,False
212,2168.856092107211,2172.6341652710116,2222.6341652710116,3.7780731638004,0,8,False
213,2191.2284372212416,2196.2284372212416,2226.2284372212416,5.0,0,4,False
219,2234.1708835262502,2251.2284372212416,2261.2284372212416,17.057553694991384,0,1,False
216,2212.4667891726913,2251.2284372212416,2271.2284372212416,38.76164804855034,0,2,False
221,2243.5374951503454,2251.2284372212416,2271.2284372212416,7.690942070896199,0,2,False
218,2231.7320921249025,2251.2284372212416,2286.2284372212416,19.496345096339155,0,4,False
220,2240.003556907688,2251.2284372212416,2286.2284372212416,11.224880313553513,0,4,False
215,2204.0997413129357,2251.2284372212416,2296.2284372212416,47.12869590830587,0,5,False
217,2214.3935002488847,2251.2284372212416,2296.2284372212416,36.8349369723569,0,5,False
222,2251.829993614293,2267.405693036157,2307.405693036157,15.575699421864101,0,7,False
223,2259.524084007602,2267.405693036157,2307.405693036157,7.881609028554976,0,7,False
224,2267.9358006052635,2267.9358006052635,2307.9358006052635,0.0,0,7,False
229,2292.247509307646,2326.2284372212416,2336.2284372212416,33.98092791359568,0,1,False
226,2276.4629564786355,2326.2284372212416,2346.2284372212416,49.76548074260609,0,2,False
225,2269.4597947255884,2326.2284372212416,2356.2284372212416,56.76864249565324,0,3,False
227,2282.520027558315,2326.2284372212416,2366.2284372212416,43.70840966292644,0,4,False
230,2346.510432498266,2366.510432498266,2381.510432498266,20.0,0,2,False
231,2347.510432498266,2366.510432498266,2386.510432498266,19.0,0,3,False
228,2291.247509307646,2326.2284372212416,2396.2284372212416,34.98092791359568,0,9,False
233,2361.2866971368085,2366.510432498266,2416.510432498266,5.223735361457329,0,8,False
232,2353.5270679492896,2366.510432498266,2421.510432498266,12.98336454897617,0,9,False
234,2368.8778737044418,,,60.0,0,9,True
235,2384.8927008273663,,,60.0,0,3,True
237,2399.884094801442,2446.2284372212416,2471.2284372212416,46.34434241979943,0,4,False
239,2420.515440125726,2446.2284372212416,2471.2284372212416,25.712997095515675,0,4,False
241,2442.659526827638,2446.2284372212416,2481.2284372212416,3.568910393603801,0,5,False
242,2455.9183567808604,2470.9183567808604,2500.9183567808604,15.0,0,5,False
236,2388.2650466315704,2446.2284372212416,2501.2284372212416,57.963390589671235,0,8,False
240,2439.841867583761,2446.2284372212416,2501.2284372212416,6.386569637480534,0,8,False
238,2406.8606005550378,2446.2284372212416,2511.2284372212416,39.36783666620386,0,9,False
243,2476.1585905804823,2481.1585905804823,2516.1585905804823,5.0,0,6,False
247,2502.950198572269,2530.9183567808604,2545.9183567808604,27.968158208591376,0,2,False
244,2499.4119932172152,2530.9183567808604,2555.9183567808604,31.50636356364521,0,3,False
246,2501.950198572269,2530.9183567808604,2555.9183567808604,28.968158208591376,0,3,False
245,2500.950198572269,2530.9183567808604,2565.9183567808604,29.968158208591376,0,4,False
251,2524.567237588349,2530.9183567808604,2565.9183567808604,6.351119192511305,0,4,False
